sentence_pair,alignment_type,source_sentence_ids,target_sentence_ids,source_sents,target_sents,source_text,target_text,source_ref,target_ref,source_pos,target_pos,source_case,target_case,pair_type,zero_pair_cost
31,one-to-many,dn_32,isk_36 isk_37 isk_38,"La sua bocca era tòrta da un lato, rappresa come per una bruciatura, convulsa come se assaporasse una saliva amara di continuo rigurgitante; e la sua voce era profonda, come se uscisse da luoghi cavernosi.",口が片方へ引釣つて火傷の痕のやうなものが黏り附いてゐる。 苦い唾液が引切なしに湧く所爲てか痙攣も見える。 胴間聲は洞穴から出て來るやうであつた。,sua,MISSING,man-with-a-pipe,MISSING,DET,MISSING,nmod,MISSING,leftover_source,
33,one-to-one,dn_34,isk_40,"Un carrettiere, giù nella strada, si chinava a piè della muraglia.",その時は一人の馬丁が下の往來で絕壁の裾へ寄って蹲踞むところであつた。,Un carrettiere,一人の馬丁,cart-driver,cart-driver,NOUN,NOUN,nsubj,nsubj,explicit_full,
33,one-to-one,dn_34,isk_40,"Un carrettiere, giù nella strada, si chinava a piè della muraglia.",その時は一人の馬丁が下の往來で絕壁の裾へ寄って蹲踞むところであつた。,si,MISSING,cart-driver,MISSING,PRON-REFLEX,MISSING,obj,MISSING,leftover_source,
33,one-to-one,dn_34,isk_40,"Un carrettiere, giù nella strada, si chinava a piè della muraglia.",その時は一人の馬丁が下の往來で絕壁の裾へ寄って蹲踞むところであつた。,MISSING,寄って,MISSING,cart-driver,MISSING,NULL,MISSING,nsubj,leftover_target,
34,one-to-one,dn_35,isk_41,"I riguardanti tacquero, immobili, aspettando la risposta.",羣集は馬丁の返辭に聽き耳を立てて皆靜まり返つた。,MISSING,馬丁,MISSING,cart-driver,MISSING,NOUN,MISSING,nmod,leftover_target,
34,one-to-one,dn_35,isk_41,"I riguardanti tacquero, immobili, aspettando la risposta.",羣集は馬丁の返辭に聽き耳を立てて皆靜まり返つた。,riguardanti,羣集,crowd-of-men,crowd-of-men,NOUN,NOUN,nsubj,nsubj,explicit_full,
34,one-to-one,dn_35,isk_41,"I riguardanti tacquero, immobili, aspettando la risposta.",羣集は馬丁の返辭に聽き耳を立てて皆靜まり返つた。,MISSING,立てて,MISSING,crowd-of-men,MISSING,NULL,MISSING,nsubj,leftover_target,
35,one-to-one,dn_36,isk_42,"Scorgevano soltanto, su le pietre, una chiazza nerastra.",甃石の上には黑い痕がぽたぽた見えた。,Scorgevano,MISSING,crowd-of-men,MISSING,NULL,MISSING,nsubj,MISSING,leftover_source,
37,one-to-many,dn_38,isk_44 isk_45,"rispose il carrettiere, ancóra curvo, cercando qualche cosa nella chiazza con la punta di una canna.",蹲踞んだまま馬丁が答へた。 鞭の尖で連りに血泥を攪拌してゐる。,il carrettiere,馬丁,cart-driver,cart-driver,NOUN,NOUN,nsubj,nsubj,explicit_full,
37,one-to-many,dn_38,isk_44 isk_45,"rispose il carrettiere, ancóra curvo, cercando qualche cosa nella chiazza con la punta di una canna.",蹲踞んだまま馬丁が答へた。 鞭の尖で連りに血泥を攪拌してゐる。,MISSING,攪拌してゐる,MISSING,cart-driver,MISSING,NULL,MISSING,nsubj,leftover_target,
39,one-to-one,dn_40,isk_47,chiese di nuovo l'uomo della pipa.,パイブの男が訊く。,l'uomo della pipa,パイブの男,man-with-a-pipe,man-with-a-pipe,NOUN,NOUN,nsubj,nsubj,explicit_full,
40,one-to-many,dn_41,isk_48 isk_49 isk_50,"Il carrettiere si sollevò, tenendo in cima della canna qualche cosa che quei di sopra non vedevano.",馬丁は起ち上つた。 鞭の尖に何か附着けて引張つた。 壁上からは分らない。,Il carrettiere,馬丁,cart-driver,cart-driver,NOUN,NOUN,nsubj,nsubj,explicit_full,
40,one-to-many,dn_41,isk_48 isk_49 isk_50,"Il carrettiere si sollevò, tenendo in cima della canna qualche cosa che quei di sopra non vedevano.",馬丁は起ち上つた。 鞭の尖に何か附着けて引張つた。 壁上からは分らない。,si,MISSING,cart-driver,MISSING,PRON-REFLEX,MISSING,obj,MISSING,leftover_source,
40,one-to-many,dn_41,isk_48 isk_49 isk_50,"Il carrettiere si sollevò, tenendo in cima della canna qualche cosa che quei di sopra non vedevano.",馬丁は起ち上つた。 鞭の尖に何か附着けて引張つた。 壁上からは分らない。,MISSING,附着けて,MISSING,cart-driver,MISSING,NULL,MISSING,nsubj,leftover_target,
40,one-to-many,dn_41,isk_48 isk_49 isk_50,"Il carrettiere si sollevò, tenendo in cima della canna qualche cosa che quei di sopra non vedevano.",馬丁は起ち上つた。 鞭の尖に何か附着けて引張つた。 壁上からは分らない。,MISSING,引張つた,MISSING,cart-driver,MISSING,NULL,MISSING,nsubj,leftover_target,
40,one-to-many,dn_41,isk_48 isk_49 isk_50,"Il carrettiere si sollevò, tenendo in cima della canna qualche cosa che quei di sopra non vedevano.",馬丁は起ち上つた。 鞭の尖に何か附着けて引張つた。 壁上からは分らない。,quei di sopra,分らない,crowd-of-men,crowd-of-men,PRON,NULL,nsubj,nsubj,zero_to_src_anchor,
45,one-to-one,dn_46,isk_55,"Giorgio, andiamo!",もう行きませうよ、ねえ。,Giorgio,MISSING,Giorgio,MISSING,PROPN,MISSING,vocative,MISSING,leftover_source,
45,one-to-one,dn_46,isk_55,"Giorgio, andiamo!",もう行きませうよ、ねえ。,andiamo,行きませう,Giorgio Ippolita,Giorgio Ippolita,NULL,NULL,nsubj,nsubj,zero_zero_single,
46,one-to-many,dn_47,isk_56 isk_57 isk_58,"supplicò Ippolita, turbata, un poco pallida, scotendo l'amante che si sporgeva dal parapetto, in vicinanza del gruppo, attratto dall'atrocità della scena.",イッポリイタが男に强請んだ。 おどおどと顔まで蒼くして戀人の腕を振つた。 男は羣集に混つて胸壁に身を凭せ、可怕しい光景に魂を奪はせてゐた。,l'amante,男,Giorgio,Giorgio,NOUN,NOUN,obj,obj,explicit_full,
46,one-to-many,dn_47,isk_56 isk_57 isk_58,"supplicò Ippolita, turbata, un poco pallida, scotendo l'amante che si sporgeva dal parapetto, in vicinanza del gruppo, attratto dall'atrocità della scena.",イッポリイタが男に强請んだ。 おどおどと顔まで蒼くして戀人の腕を振つた。 男は羣集に混つて胸壁に身を凭せ、可怕しい光景に魂を奪はせてゐた。,si,MISSING,Giorgio,MISSING,PRON-REFLEX,MISSING,obj,MISSING,leftover_source,
46,one-to-many,dn_47,isk_56 isk_57 isk_58,"supplicò Ippolita, turbata, un poco pallida, scotendo l'amante che si sporgeva dal parapetto, in vicinanza del gruppo, attratto dall'atrocità della scena.",イッポリイタが男に强請んだ。 おどおどと顔まで蒼くして戀人の腕を振つた。 男は羣集に混つて胸壁に身を凭せ、可怕しい光景に魂を奪はせてゐた。,MISSING,戀人,MISSING,Giorgio,MISSING,NOUN,MISSING,nmod,leftover_target,
46,one-to-many,dn_47,isk_56 isk_57 isk_58,"supplicò Ippolita, turbata, un poco pallida, scotendo l'amante che si sporgeva dal parapetto, in vicinanza del gruppo, attratto dall'atrocità della scena.",イッポリイタが男に强請んだ。 おどおどと顔まで蒼くして戀人の腕を振つた。 男は羣集に混つて胸壁に身を凭せ、可怕しい光景に魂を奪はせてゐた。,MISSING,男,MISSING,Giorgio,MISSING,NOUN,MISSING,nsubj,leftover_target,
46,one-to-many,dn_47,isk_56 isk_57 isk_58,"supplicò Ippolita, turbata, un poco pallida, scotendo l'amante che si sporgeva dal parapetto, in vicinanza del gruppo, attratto dall'atrocità della scena.",イッポリイタが男に强請んだ。 おどおどと顔まで蒼くして戀人の腕を振つた。 男は羣集に混つて胸壁に身を凭せ、可怕しい光景に魂を奪はせてゐた。,MISSING,混つて,MISSING,Giorgio,MISSING,NULL,MISSING,nsubj,leftover_target,
46,one-to-many,dn_47,isk_56 isk_57 isk_58,"supplicò Ippolita, turbata, un poco pallida, scotendo l'amante che si sporgeva dal parapetto, in vicinanza del gruppo, attratto dall'atrocità della scena.",イッポリイタが男に强請んだ。 おどおどと顔まで蒼くして戀人の腕を振つた。 男は羣集に混つて胸壁に身を凭せ、可怕しい光景に魂を奪はせてゐた。,MISSING,奪はせてゐた,MISSING,Giorgio,MISSING,NULL,MISSING,nsubj,leftover_target,
46,one-to-many,dn_47,isk_56 isk_57 isk_58,"supplicò Ippolita, turbata, un poco pallida, scotendo l'amante che si sporgeva dal parapetto, in vicinanza del gruppo, attratto dall'atrocità della scena.",イッポリイタが男に强請んだ。 おどおどと顔まで蒼くして戀人の腕を振つた。 男は羣集に混つて胸壁に身を凭せ、可怕しい光景に魂を奪はせてゐた。,Ippolita,イッポリイタ,Ippolita,Ippolita,PROPN,PROPN,nsubj,nsubj,explicit_full,
46,one-to-many,dn_47,isk_56 isk_57 isk_58,"supplicò Ippolita, turbata, un poco pallida, scotendo l'amante che si sporgeva dal parapetto, in vicinanza del gruppo, attratto dall'atrocità della scena.",イッポリイタが男に强請んだ。 おどおどと顔まで蒼くして戀人の腕を振つた。 男は羣集に混つて胸壁に身を凭せ、可怕しい光景に魂を奪はせてゐた。,MISSING,振つた,MISSING,Ippolita,MISSING,NULL,MISSING,nsubj,leftover_target,
46,one-to-many,dn_47,isk_56 isk_57 isk_58,"supplicò Ippolita, turbata, un poco pallida, scotendo l'amante che si sporgeva dal parapetto, in vicinanza del gruppo, attratto dall'atrocità della scena.",イッポリイタが男に强請んだ。 おどおどと顔まで蒼くして戀人の腕を振つた。 男は羣集に混つて胸壁に身を凭せ、可怕しい光景に魂を奪はせてゐた。,gruppo,羣集,crowd-of-men,crowd-of-men,NOUN,NOUN,nmod,obj,explicit_ref_pos,
47,one-to-one,dn_48,isk_59,"Oltrepassarono il luogo tragico, in silenzio.",二人は竊とこの物凄い場を外した。,Oltrepassarono,二人,Giorgio Ippolita,Giorgio Ippolita,NULL,NOUN,nsubj,nsubj,zero_to_tgt_anchor,
48,one-to-many,dn_49,isk_60 isk_61,"In ambedue persisteva il pensiero di quella morte, dolorosamente; e la loro tristezza era visibile.",互の胸には可傷しい死の思想があつた。 悲愁は外貌にも讀まれた。,loro,互,Giorgio Ippolita,Giorgio Ippolita,DET,NOUN,nmod,nmod,explicit_ref_case,
48,one-to-many,dn_49,isk_60 isk_61,"In ambedue persisteva il pensiero di quella morte, dolorosamente; e la loro tristezza era visibile.",互の胸には可傷しい死の思想があつた。 悲愁は外貌にも讀まれた。,ambedue,MISSING,Giorgio Ippolita,MISSING,DET,MISSING,obj,MISSING,leftover_source,
